Date : 2025-02-03 06:37:31
Directory : c:\disorber_docs\src
Total : 50 files,  2627 codes, 72 comments, 315 blanks, all 3014 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         41 |      2,383 |         64 |        268 |      2,715 |
| Razor              |          3 |         92 |          0 |         18 |        110 |
| CSS                |          2 |         84 |          7 |         18 |        109 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| C#                 |          2 |         27 |          1 |          8 |         36 |
| JavaScript         |          1 |         14 |          0 |          2 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         50 |      2,627 |         72 |        315 |      3,014 |
| . (Files)                                                                   |          4 |        143 |          3 |         11 |        157 |
| components                                                                  |         22 |      1,317 |         26 |        154 |      1,497 |
| components\gallery                                                          |          1 |        103 |          0 |          9 |        112 |
| components\layout                                                           |         12 |        713 |         13 |         74 |        800 |
| components\layout (Files)                                                   |          3 |        218 |          8 |         38 |        264 |
| components\layout\Navbar                                                    |          2 |         66 |          0 |          7 |         73 |
| components\layout\Sidebar                                                   |          7 |        429 |          5 |         29 |        463 |
| components\ui                                                               |          6 |        337 |          8 |         41 |        386 |
| components\ui\backgrounds                                                   |          4 |        264 |          8 |         33 |        305 |
| components\ui\buttons                                                       |          2 |         73 |          0 |          8 |         81 |
| components\ui\buttons\MotionButton                                          |          2 |         73 |          0 |          8 |         81 |
| components\window                                                           |          3 |        164 |          5 |         30 |        199 |
| components\window (Files)                                                   |          1 |         69 |          2 |         12 |         83 |
| components\window\hooks                                                     |          1 |         30 |          3 |          9 |         42 |
| components\window\wrapper                                                   |          1 |         65 |          0 |          9 |         74 |
| modules                                                                     |         18 |        975 |         36 |        107 |      1,118 |
| modules\Binary                                                              |         13 |        804 |         33 |         91 |        928 |
| modules\Binary (Files)                                                      |          1 |         10 |          0 |          3 |         13 |
| modules\Binary\core                                                         |          3 |        176 |          9 |         34 |        219 |
| modules\Binary\hooks                                                        |          1 |         29 |          0 |          8 |         37 |
| modules\Binary\ui                                                           |          6 |        577 |         20 |         43 |        640 |
| modules\Binary\ui (Files)                                                   |          3 |        164 |          1 |         16 |        181 |
| modules\Binary\ui\Display                                                   |          1 |        108 |         15 |         10 |        133 |
| modules\Binary\ui\Trace                                                     |          1 |        157 |          2 |         10 |        169 |
| modules\Binary\ui\Workspace                                                 |          1 |        148 |          2 |          7 |        157 |
| modules\Binary\utils                                                        |          2 |         12 |          4 |          3 |         19 |
| modules\Docs                                                                |          1 |         19 |          0 |          2 |         21 |
| modules\Gallery                                                             |          1 |         60 |          2 |          4 |         66 |
| modules\Home                                                                |          1 |         54 |          1 |          6 |         61 |
| modules\Image                                                               |          1 |         19 |          0 |          2 |         21 |
| modules\Settings                                                            |          1 |         19 |          0 |          2 |         21 |
| porting                                                                     |          6 |        192 |          7 |         43 |        242 |
| porting (Files)                                                             |          2 |         78 |          7 |         21 |        106 |
| porting\Services                                                            |          1 |         22 |          0 |          4 |         26 |
| porting\Shared                                                              |          3 |         92 |          0 |         18 |        110 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\disorber_docs\src\App.jsx                                                | JavaScript JSX     |         91 |          2 |          7 |        100 |
| c:\disorber_docs\src\components\gallery\index.jsx                           | JavaScript JSX     |        103 |          0 |          9 |        112 |
| c:\disorber_docs\src\components\layout\BackgroundCanvas.jsx                 | JavaScript JSX     |        132 |          7 |         24 |        163 |
| c:\disorber_docs\src\components\layout\Layout.jsx                           | JavaScript JSX     |         60 |          1 |          8 |         69 |
| c:\disorber_docs\src\components\layout\Navbar\TopNavItem.jsx                | JavaScript JSX     |         26 |          0 |          3 |         29 |
| c:\disorber_docs\src\components\layout\Navbar\index.jsx                     | JavaScript JSX     |         40 |          0 |          4 |         44 |
| c:\disorber_docs\src\components\layout\SidebarContext.jsx                   | JavaScript JSX     |         26 |          0 |          6 |         32 |
| c:\disorber_docs\src\components\layout\Sidebar\ActionButtons.jsx            | JavaScript JSX     |         30 |          0 |          3 |         33 |
| c:\disorber_docs\src\components\layout\Sidebar\CollapsedNavigation.jsx      | JavaScript JSX     |         25 |          0 |          2 |         27 |
| c:\disorber_docs\src\components\layout\Sidebar\SearchExplorer.jsx           | JavaScript JSX     |         13 |          0 |          2 |         15 |
| c:\disorber_docs\src\components\layout\Sidebar\SideNavItem.jsx              | JavaScript JSX     |         48 |          0 |          3 |         51 |
| c:\disorber_docs\src\components\layout\Sidebar\TreeNode.jsx                 | JavaScript JSX     |         72 |          2 |          8 |         82 |
| c:\disorber_docs\src\components\layout\Sidebar\index.jsx                    | JavaScript JSX     |        117 |          3 |         10 |        130 |
| c:\disorber_docs\src\components\layout\Sidebar\navigationData.jsx           | JavaScript JSX     |        124 |          0 |          1 |        125 |
| c:\disorber_docs\src\components\ui\backgrounds\BinaryBackground.jsx         | JavaScript JSX     |         68 |          4 |          9 |         81 |
| c:\disorber_docs\src\components\ui\backgrounds\BinaryBackgroundOriginal.jsx | JavaScript JSX     |         50 |          0 |          5 |         55 |
| c:\disorber_docs\src\components\ui\backgrounds\BinaryBackgroundSeamless.jsx | JavaScript JSX     |         68 |          4 |          9 |         81 |
